usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed
2026-03-02,--,Default,QuePasa,--,--,--,0.14,0.14,web_search,--,--
2026-03-02,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.27,0.27,token,not_available,
2026-03-02,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_read,0.72,0.72,token,not_available,
2026-03-02,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.63,0.63,token,not_available,
2026-03-02,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.40,0.40,token,not_available,
2026-03-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.05,0.05,token,global,
2026-03-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,0.79,0.79,token,global,
2026-03-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,0.88,0.88,token,global,
2026-03-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.02,0.02,token,global,
2026-03-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,1.70,1.70,token,global,
2026-03-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,0.27,0.27,token,global,
2026-03-02,Claude Sonnet 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-03-02,Claude Sonnet 4.5,Default,QuePasa,message,≤ 200k,input_cache_read,0.28,0.28,token,not_available,
2026-03-02,Claude Sonnet 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.72,0.72,token,not_available,
2026-03-02,Claude Sonnet 4.5,Default,QuePasa,message,≤ 200k,output,0.41,0.41,token,not_available,
2026-03-02,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,7.07,7.07,token,not_available,
2026-03-02,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.69,0.69,token,not_available,
2026-03-02,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.16,0.16,token,global,
2026-03-02,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,0.84,0.84,token,global,
2026-03-02,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,1.47,1.47,token,global,
2026-03-02,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.79,0.79,token,global,
2026-03-03,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-03-03,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-03-03,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-03-03,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,0.85,0.85,token,global,
2026-03-03,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,1.71,1.71,token,global,
2026-03-03,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,0.69,0.69,token,global,
2026-03-03,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,10.10,10.10,token,not_available,
2026-03-03,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.94,0.94,token,not_available,
2026-03-03,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.01,0.01,token,global,
2026-03-03,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,0.34,0.34,token,global,
2026-03-03,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.26,0.26,token,global,
2026-03-03,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,0.20,0.20,token,global,
2026-03-03,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.16,0.16,token,global,
